odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,cestatus,ceapplicationcycle,siteid,sitename,sitestatus,siteapplicationcycle,countydistrictcode,cecounty,sitecounty,cestreetaddressline1,cestreetaddresscity,cestreetaddressstate,cestreetaddresszipcode,cemailingaddressline1,cemailingaddresscity,cemailingaddressstate,cemailingaddresszipcode,sitestreetaddressline1,sitestreetaddresscity,sitestreetaddressstate,sitestreetaddresszipcode,superintendentsalutation,superintendentfirstname,superintendentlastname,superintendenttitleposition,superintendentemail,superintendentphone,childnutdirsalutation,childnutdirfirstname,childnutdirlastname,childnutdirtitleposition,childnutdiremail,childnutdirphone,seamlesssummercontactsalutation,seamlesssummercontactfirstname,seamlesssummercontactlastname,seamlesssummercontacttitleposition,seamlesssummercontactemail,seamlesssummercontactphone,sitetype,sitestartdate,siteenddate,daysofoperation,mealservicetype,mealtypesserved,lunchtime,lunchdaysserved,geolocation,:@computed_region_ptpy_sh92,:@computed_region_59h5_km5p,:@computed_region_de3d_j5mj,:@computed_region_ji3u_dqif,:@computed_region_rk7b_wvzt,breakfasttime,breakfastdaysserved,cestreetaddressline2,cemailingaddressline2,siteterminationstatus,siteterminatedasofdate,sitestreetaddressline2,amsnacktime,amsnackdaysserved,suppertime,supperdaysserved,pmsnacktime,pmsnackdaysserved,ceterminationstatus,ceterminatedasofdate
01151-0041,2022-2023,SSOCONTACTS,01151,JARRELL ISD,Educational Institution,Public,13,4,Active,RENEWAL,0041,JARRELL MIDDLE SCHOOL,Active,RENEWAL,246-907,WILLIAMSON,WILLIAMSON,108 E. Ave F,JARRELL,TX,76537-0009,P O BOX 9,Jarrell,TX,76537-0009,101 E Ave F,Jarrell,TX,76537,Dr.,Toni,Hicks,SUPERINTENDENT,toni.hicks@jarrellisd.org,5127462124,Mr.,Robert,Navarro,CFO,norberto.navarro@jarrellisd.org,5127462124,,Tanya,Edgar,Child Nutition Coordinator,tanya.edgar@jarrellisd.org,5127462124,Open,2023-05-30T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.605572686, 30.829452714]}",20,234,16,31,5,7:30 AM - 8:00 AM,"M, T, W, TH",,,,,,,,,,,,,
00513-0015,2022-2023,SSOCONTACTS,00513,ALDINE ISD,Educational Institution,Public,4,3,Active,RENEWAL,0015,Avalos P-Tech High,Active,RENEWAL,101-902,HARRIS,HARRIS,2520 W W Thorne Drive,HOUSTON,TX,77073-3301,2520 W W Thorne Drive,HOUSTON,TX,77073-3301,2430 Aldine Mail Route,Houston,TX,77039,Dr.,LaTonya,Goffney,SUPERINTENDENT,lmgoffney@aldineisd.org,2814491011,Mrs.,Susan,D'Amico,Executive Director,skdamico@aldineisd.org,2819856449,Mr.,Susan,D'Amico,Exec Director,skdamico@aldineisd.org,2819856400,Open,2023-06-05T00:00:00.000,2023-07-11T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",12:00 PM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-95.345911, 29.901180994]}",140,121,16,29,6,8:00 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00090-0122,2022-2023,SSOCONTACTS,00090,NORTHSIDE ISD-SAN ANTONIO,Educational Institution,Public,20,4,Active,RENEWAL,0122,J B PASSMORE EL,Active,RENEWAL,015-915,BEXAR,BEXAR,5900 EVERS RD,SAN ANTONIO,TX,78238-1699,5900 EVERS RD,SAN ANTONIO,TX,78238-1699,570 PINN RD,SAN ANTONIO,TX,78227-1299,Dr.,BRIAN,WOODS,SUPERINTENDENT,info@nisd.net,2103978770,Mr.,Thomas,Wherry,Director,thomas.wherry@nisd.net,2103974512,Mr.,Thomas,Wherry,DIRECTOR,thomas.wherry@nisd.net,2103974512,Open,2023-06-05T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",10:30 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.622698029, 29.430469991]}",124,44,16,20,26,7:15 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00113-0108,2022-2023,SSOCONTACTS,00113,ANGLETON ISD,Educational Institution,Public,4,3,Active,RENEWAL,0108,RANCHO ISABELLA EL,Active,RENEWAL,020-902,BRAZORIA,BRAZORIA,1900 N DOWNING RD,ANGLETON,TX,77515-3799,1900 N DOWNING RD,ANGLETON,TX,77515-3799,100 CORRAL LOOP,ANGLETON,TX,77515-3706,Mr.,Phil,Edwards,SUPERINTENDENT,phil.edwards@angletonisd.net,9798648000,Ms.,Amy,Grant,Director of Child Nutrition,algrant@angletonisd.net,9798648012,Mrs.,Amy,Grant,Director of Child Nutrition,algrant@angletonisd.net,9798648012,Open,2023-06-05T00:00:00.000,2023-07-27T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-95.42478496, 29.199446006]}",25,143,16,14,11,7:00 AM - 8:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00332-0107,2022-2023,SSOCONTACTS,00332,ENNIS ISD,Educational Institution,Public,10,2,Active,RENEWAL,0107,G.W. CARVER EARLY CHILDHOOD CENTER,Active,RENEWAL,070-903,ELLIS,ELLIS,303 W KNOX,ENNIS,TX,75119-3957,P O BOX 1420,ENNIS,TX,75120-1420,600 E MLK DR,ENNIS,TX,75119-2671,Mrs.,Denise,Stone,CFO,denise.stone@ennis.k12.tx.us,9728727004,Mrs.,Denise,Stone,CFO,denise.stone@ennis.k12.tx.us,9728727004,,Alex,Pineda,Director of Student Nutrition,alejandro.pineda@ennis.k12.tx.us,9728727030,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:00 AM - 11:30 AM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-96.626776027, 32.33832202]}",10,65,16,6,2,7:30 AM - 8:00 AM,"M, T, W, TH",,,,,,,,,,,,,
00513-0143,2022-2023,SSOCONTACTS,00513,ALDINE ISD,Educational Institution,Public,4,3,Active,RENEWAL,0143,REED ELEMENTARY,Active,RENEWAL,101-902,HARRIS,HARRIS,2520 W W Thorne Drive,HOUSTON,TX,77073-3301,2520 W W Thorne Drive,HOUSTON,TX,77073-3301,1616 LAUDER RD,HOUSTON,TX,77039,Dr.,LaTonya,Goffney,SUPERINTENDENT,lmgoffney@aldineisd.org,2814491011,Mrs.,Susan,D'Amico,Executive Director,skdamico@aldineisd.org,2819856449,Mrs.,Susan,D'Amico,Exec Director,skdamico@aldineisd.org,2819856400,Open,2023-06-06T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",10:45 AM - 12:15 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-95.360873032, 29.912019004]}",140,121,16,29,6,7:45 AM - 8:15 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00527-0132,2022-2023,SSOCONTACTS,00527,PASADENA ISD,Educational Institution,Public,4,3,Active,RENEWAL,0132,HARVEY TURNER EL,Active,RENEWAL,101-917,HARRIS,HARRIS,1515 CHERRYBROOK,PASADENA,TX,77502-4099,1515 CHERRYBROOK,PASADENA,TX,77502-4099,4333 Lily,Pasadena,TX,77505,Dr.,Deeann,Powell,SUPERINTENDENT,dsmith@pasadenaisd.org,7137400000,Mrs.,Mary,Harryman,Director,mharryman@pasadenaisd.org,7137400097,Ms.,Mary,Harryman,Director,mharryman@pasadenaisd.org,7137400146,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:00 AM - 11:30 AM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-95.166193021, 29.645990012]}",129,121,16,36,11,7:00 AM - 7:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00320-0101,2022-2023,SSOCONTACTS,00320,SAN DIEGO ISD,Educational Institution,Public,2,5,Active,RENEWAL,0101,COLLINS-PARR ELEMENTARY,Active,RENEWAL,066-902,DUVAL,DUVAL,609 Labbe Ave.,SAN DIEGO,TX,78384-3420,609 W LABBE ST,San Diego,TX,78384-3499,609 W Labbe Ave,SAN DIEGO,TX,78384-3499,Dr.,Rodrigo,Pena,SUPERINTENDENT,rpena@sdisd.us,3612793382,Ms.,Alma,Garcia,Child Nutrition Secretary,agarcia4@sdisd.us,3612793382,Ms.,ALMA,GARCIA,Food Service Secretary,agarcia4@sdisd.us,3612793382,Open,2023-05-30T00:00:00.000,2023-07-18T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.24500842, 27.754746201]}",31,62,16,28,21,8:30 AM - 9:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00658-0114,2022-2023,SSOCONTACTS,00658,ALICE ISD,Educational Institution,Public,2,5,Active,RENEWAL,0114,West Alice Youth Center,Active,RENEWAL,125-901,JIM WELLS,JIM WELLS,#2 Coyote Trail,ALICE,TX,78332-4140,#2 Coyote Trail,ALICE,TX,78332-4140,1634 Rosario,Alice,TX,78332,Dr.,Carl,Scarbrough,Superintendent,drcarl.scarbrough@aliceisd.net,3616640981,Mrs.,Faustina,Dominguez,Child Nutrition Coordinator,faustina.dominguez@aliceisd.net,3616640981,Mrs.,Faustina,Dominguez,Child Nutrition Coordinator,faustina.dominguez@aliceisd.net,3616640981,Closed,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,Lunch,12:00 PM - 12:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-98.096750033, 27.741906009]}",43,200,16,15,20,,,,,,,,,,,,,,,
00309-0102,2022-2023,SSOCONTACTS,00309,YOAKUM ISD,Educational Institution,Public,3,3,Active,RENEWAL,0102,YOAKUM INT,Active,RENEWAL,062-903,DEWITT,DEWITT,315 E. Gonzales,Yoakum,Tx,77995-1623,P O Box 737,Yoakum,Tx,77995-1623,208 Aubrey Street,Yoakum,TX,77995,Mr.,Tom,Kelley,Superintendent,tkelley@yoakumisd.net,3612933162,Mrs.,Tina,Bordovsky,Child Nurition Director,tbordovsky@yoakumisd.net,3612935312,,Tina,Bordovsky,Food Service Director,tbordovsky@yoakumisd.net,3612935312,Open,2023-05-30T00:00:00.000,2023-06-16T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.149201025, 29.279507012]}",30,25,16,27,18,7:30 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00282-0041,2022-2023,SSOCONTACTS,00282,LANCASTER ISD,Educational Institution,Public,10,2,Active,RENEWAL,0041,LANCASTER MIDDLE,Active,RENEWAL,057-913,DALLAS,DALLAS,422 S CENTRE AVE,LANCASTER,TX,75146-1621,422 S CENTRE AVE,LANCASTER,TX,75146-1621,822 W PLEASANT RUN,LANCASTER,TX,75146-3015,Ms.,A. Katrise,Perera,SUPERINTENDENT,akperera@lancasterisd.org,9722181400,Mr.,Roger,Oster,Exec. Director or Operations,rogeroster@lancasterisd.org,9722181485,Ms.,Brittany,James,Cafeteria Manager,brittanyjames@lancasterisd.org,9722181688,Open,2023-06-05T00:00:00.000,2023-08-04T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",12:00 PM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-96.770544023, 32.604259985]}",109,46,16,30,23,8:00 AM - 9:00 AM,"M, T, W, TH, F",,,TDA Cancelled,2023-05-26T00:00:00.000,,,,,,,,,
00455-0001,2022-2023,SSOCONTACTS,00455,PETERSBURG ISD,Educational Institution,Public,17,1,Active,RENEWAL,0001,PETERSBURG SCHOOL,Active,RENEWAL,095-904,HALE,HALE,1411 W 4TH,PETERSBURG,TX,79250-0160,P O BOX 160,PETERSBURG,TX,79250-0160,1411 W 4th St,Petersburg,TX,79250,Mr.,TODD,NEWBERRY,SUPERINTENDENT,tnewberry@petersburgisd.net,8066673585,Ms.,VICKIE,MCLAUGHLIN,Cafeteria Manager,vmclaughlin@petersburgisd.net,8066673585,Ms.,Victoria,McLaughlin,Director,vmclaughlin@petersburgisd.net,8066673585,Open,2023-05-22T00:00:00.000,2023-06-23T00:00:00.000,"M,T,W,TH,F",Congregate,Lunch,11:30 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-101.603026028, 33.87174498]}",88,216,16,19,28,,,,,,,P O Box 160,,,,,,,,
00660-0001,2022-2023,SSOCONTACTS,00660,ORANGE GROVE ISD,Educational Institution,Public,2,5,Active,RENEWAL,0001,ORANGE GROVE H S,Active,RENEWAL,125-903,JIM WELLS,JIM WELLS,504 S DIBRELL,ORANGE GROVE,TX,78372-0534,504 S DIBRELL,ORANGE GROVE,TX,78372-0534,701 S REYNOLDS,ORANGE GROVE,TX,78372-0534,Mr.,Eddie,Hesseltine,SUPERINTENDENT,ehesseltine@ogisd.net,3613842495,Mr.,Eddie,Hesseltine,Superintendent,ehesseltine@ogisd.net,3613842495,Mrs.,Jodi,Schroedter,Director of Finance,jschroedter@ogisd.net,3613842495,Open,2023-05-30T00:00:00.000,2023-06-28T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",12:00 PM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.940608563, 27.951441222]}",43,200,16,15,20,7:30 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01123-0131,2022-2023,SSOCONTACTS,01123,UNITED ISD,Educational Institution,Public,1,5,Active,RENEWAL,0131,BARBARA FASKIN ELEMENTARY,Active,RENEWAL,240-903,WEBB,WEBB,201 Lindenwood Dr.,Laredo,TX,78045-2499,201 Lindenwood Dr.,Laredo,TX,78045-2499,11111 Atlanta Drive,Laredo,TX,78045,Mr.,David,Gonzalez,Superintendent,dhgonzalez@uisd.net,9564736219,Mr.,Raul,"Ramirez, Jr.",Child Nutrition Department Director,rramirez@uisd.net,9564736556,Mrs.,Aryana,Valdez,Operations Manager,amontemayor@uisd.net,9564736556,Open,2023-05-31T00:00:00.000,2023-06-28T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:15 AM - 1:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-99.520171033, 27.595655]}",42,220,16,28,21,8:00 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01122-1231,2022-2023,SSOCONTACTS,01122,LAREDO ISD,Educational Institution,Public,1,5,Active,RENEWAL,1231,Triumph Public High School â€“ Laredo South,Active,NEWAPP,240-901,WEBB,WEBB,1702 HOUSTON STREET,LAREDO,TX,78040-4906,1702 HOUSTON STREET,LAREDO,TX,78040-4906,4620 S. Lucy Avenue,Laredo,TX,78046,Dr.,Sylvia G.,Rios,Superintendent of Schools,sgrios@laredoisd.org,9562731400,Mr.,Roberto,Cuellar,Child Nutrition Program Director,robcuellar@laredoisd.org,9562731600,Ms.,Sandra,Castillo,Principal,sandra.castillo@triumphpublicschool.org,9567230345,Open,2023-06-01T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-99.472148008, 27.446080985]}",80,220,16,28,21,8:00 AM - 8:45 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01027-0042,2022-2023,SSOCONTACTS,01027,AZLE ISD,Educational Institution,Public,11,2,Active,RENEWAL,0042,SANTO J FORTE JUNIOR HIGH NORTH,Active,RENEWAL,220-915,TARRANT,TARRANT,300 ROE STREET,AZLE,TX,76020-3194,300 ROE STREET,AZLE,TX,76020-3194,479 Sandy Beach Rd.,Azle,Tx,76020,Mr.,Todd,Smith,SUPERINTENDENT,tsmith@azleisd.net,8174443235,Mr.,Matt,Adams,Director of Finance & Operation,Madams@azleisd.net,8174440805,Mrs.,Debra,Venable,Child Nutrition Assistant Director,dvenable@azleisd.net,8174445115,Open,2023-06-05T00:00:00.000,2023-07-27T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.539376019, 32.930260991]}",99,190,16,12,9,7:30 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01025-0106,2022-2023,SSOCONTACTS,01025,CROWLEY ISD,Educational Institution,Public,11,2,Active,RENEWAL,0106,PARKWAY EL,Active,RENEWAL,220-912,TARRANT,TARRANT,512 PEACH ST,CROWLEY,TX,76036-0688,P O BOX 688,CROWLEY,TX,76036-0688,1320 W EVERMAN PKWY,FORT WORTH,TX,76134-4950,Mr.,Jarvis,Walker,Executive Director of Operations,jarvis.walker@crowley.k12.tx.us,8172975942,Mr.,Leon,Fisher,Executive Director of Finance,Leon.Fisher@crowley.k12.tx.us,8172975268,,Jarvis,Walker,Executive Director of Operations,Jarvis.walker@crowley.k12.tx.us,8172975940,Open,2023-06-12T00:00:00.000,2023-06-23T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.340071964, 32.629183993]}",95,190,16,25,10,7:15 AM - 8:15 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01122-1211,2022-2023,SSOCONTACTS,01122,LAREDO ISD,Educational Institution,Public,1,5,Active,RENEWAL,1211,Triumph Public High School â€“ Laredo North,Active,NEWAPP,240-901,WEBB,WEBB,1702 HOUSTON STREET,LAREDO,TX,78040-4906,1702 HOUSTON STREET,LAREDO,TX,78040-4906,1230 Townlake Dr.,Laredo,TX,78041,Dr.,Sylvia G.,Rios,Superintendent of Schools,sgrios@laredoisd.org,9562731400,Mr.,Roberto,Cuellar,Child Nutrition Program Director,robcuellar@laredoisd.org,9562731600,Ms.,Violeta,Menchaca,Principal,violeta.villa@triumphpublicschools.org,9567220747,Open,2023-06-01T00:00:00.000,2023-06-23T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",12:00 PM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-99.481413029, 27.543533015]}",42,220,16,28,21,7:30 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00152-0105,2022-2023,SSOCONTACTS,00152,HARLINGEN CONS ISD,Educational Institution,Public,1,5,Active,RENEWAL,0105,CROCKETT EL,Active,RENEWAL,031-903,CAMERON,CAMERON,407 N 77 SUNSHINE STRIP,HARLINGEN,TX,78550-5820,407 N 77 SUNSHINE STRIP,HARLINGEN,TX,78550-5820,1406 W JEFFERSON ST,HARLINGEN,TX,78550-5329,Dr.,Alicia,Noyola,SUPERINTENDENT,alicia.noyola@hcisd.org,9564309502,Mrs.,Judy K.,"Baker, R.D.",Director of Child Nutrition,judy.baker@hcisd.org,9564273310,Mrs.,Judy,Baker,Director Child Nutrition Services,judy.baker@hcisd.org,9564273310,Open,2023-05-29T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:30 AM - 12:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-97.710795998, 26.196439008]}",37,144,16,34,27,7:15 AM - 8:15 AM,"M, T, W, TH",,,,,,,,,,,,,
00276-0163,2022-2023,SSOCONTACTS,00276,DALLAS ISD,Educational Institution,Public,10,2,Active,RENEWAL,0163,Cedar Crest Elementary,Active,RENEWAL,057-905,DALLAS,DALLAS,9400 North Central Expressway.,DALLAS,TX,75231-5491,1515 Al Lipscomb Way,DALLAS,TX,75215-2632,2020 MOUSER ST,DALLAS,TX,75203-3942,Ms.,Stephanie,Elizalde,Superintendent,selizalde@dallasisd.org,9729253700,Mr.,Michael,Rosenberger,Executive Director,MROSENBERGER@dallasisd.org,2149325502,,Andrea,Ramirez,Lead Area Supervisor,andrramirez@dallasisd.org,2149325598,Open,2023-05-30T00:00:00.000,2023-08-11T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",12:05 PM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-96.792936026, 32.737938013]}",100,46,16,30,23,7:45 AM - 8:15 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00527-0049,2022-2023,SSOCONTACTS,00527,PASADENA ISD,Educational Institution,Public,4,3,Active,RENEWAL,0049,THOMPSON INT,Active,RENEWAL,101-917,HARRIS,HARRIS,1515 CHERRYBROOK,PASADENA,TX,77502-4099,1515 CHERRYBROOK,PASADENA,TX,77502-4099,11309 Sagedowne Ln.,Houston,TX,77089,Dr.,Deeann,Powell,SUPERINTENDENT,dsmith@pasadenaisd.org,7137400000,Mrs.,Mary,Harryman,Director,mharryman@pasadenaisd.org,7137400097,Ms.,Mary,Harryman,Director,mharryman@pasadenaisd.org,7137400146,Open,2023-06-05T00:00:00.000,2023-06-16T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:50 AM - 1:05 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-95.215313991, 29.595470018]}",144,121,16,36,6,8:35 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00277-0112,2022-2023,SSOCONTACTS,00277,DESOTO ISD,Educational Institution,Public,10,2,Active,RENEWAL,0112,KATHERINE JOHNSON TECHNOLOGY MAGNET ACADEMY,Active,RENEWAL,057-906,DALLAS,DALLAS,200 E BELT LINE RD,DESOTO,TX,75115-5795,200 E BELT LINE RD,DESOTO,TX,75115-5795,1200 Academy Way,DeSoto,TX,75115,Dr.,Usamah,Rodgers,Superintendent,Usamah.rodgers@desotoisd.org,9722236666,Mr.,Shon,Joseph,Executive Director,shon.joseph@desotoisd.org,9722304780,Mr.,Shon,Joseph,Child Nutrition Executive Director,shon.joseph@desotoisd.org,9722304780,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:00 AM - 12:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-96.8627715, 32.6005348]}",109,46,16,30,23,8:00 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00151-0009,2022-2023,SSOCONTACTS,00151,BROWNSVILLE ISD,Educational Institution,Public,1,5,Active,RENEWAL,0009,VETERNS MEMORIAL H S,Active,RENEWAL,031-901,CAMERON,CAMERON,1900 East Price Road,Brownsville,TX,78521-2417,1900 East Price Road,Brownsville,TX,78521-2417,4550 U.S. Military Hwy 281,Brownsville,TX,78520,Dr.,Rene,Gutierrez,Superintendent,rene.gutierrez@bisd.us,9565488000,Ms.,Jackie,Cruz,FNS Director,jcruz2@bisd.us,9565488450,Msgr.,Joaquina,Cruz,Director of Child Nutrition,jcruz2@bisd.us,9565488450,Open,2023-06-05T00:00:00.000,2023-08-04T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 12:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.572915093, 25.959481347]}",35,144,16,34,27,8:45 AM - 9:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00527-0113,2022-2023,SSOCONTACTS,00527,PASADENA ISD,Educational Institution,Public,4,3,Active,RENEWAL,0113,POMEROY EL,Active,RENEWAL,101-917,HARRIS,HARRIS,1515 CHERRYBROOK,PASADENA,TX,77502-4099,1515 CHERRYBROOK,PASADENA,TX,77502-4099,922 Burke Rd.,Pasadena,TX,77506,Dr.,Deeann,Powell,SUPERINTENDENT,dsmith@pasadenaisd.org,7137400000,Mrs.,Mary,Harryman,Director,mharryman@pasadenaisd.org,7137400097,Ms.,Mary,Harryman,Director,mharryman@pasadenaisd.org,7137400146,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:00 AM - 12:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-95.182941955, 29.69778847]}",144,121,16,29,6,7:00 AM - 8:00 AM,"M, T, W, TH",,,,,,,,,,,,,
00681-0101,2022-2023,SSOCONTACTS,00681,CRANDALL ISD,Educational Institution,Public,10,2,Active,RENEWAL,0101,W A MARTIN EL,Active,RENEWAL,129-901,KAUFMAN,KAUFMAN,400 W LEWIS ST,CRANDALL,TX,75114-0128,400 W LEWIS ST,CRANDALL,TX,75114-0128,11601 W HWY 175,CRANDALL,TX,75114-0460,Dr.,Wendy,Eldredge,SUPERINTENDENT,weldredge@crandall-isd.net,9724276000,Mr.,Tim,Davis,Food Service Director,tdavis@crandall-isd.net,9724276000,Mr.,Tim,Davis,Food Service Director,tdavis@crandall-isd.net,9724276000,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:00 AM - 12:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-96.405225225, 32.613437342]}",4,20,16,5,2,7:00 AM - 8:00 AM,"M, T, W, TH",,,,,,,,,,,,,
01153-0108,2022-2023,SSOCONTACTS,01153,ROUND ROCK ISD,Educational Institution,Public,13,4,Active,RENEWAL,0108,FOREST NORTH EL,Active,RENEWAL,246-909,WILLIAMSON,WILLIAMSON,1311 ROUND ROCK AVE,ROUND ROCK,TX,78681-4941,1311 ROUND ROCK AVE,ROUND ROCK,TX,78681-4941,13414 BROADMEADE AVE,AUSTIN,TX,78729-1945,Dr.,Hafedh,Azaiez,SUPERINTENDENT,superintendent_rrisd@roundrockisd.org,5124645000,,Dennis,Covington,Chief Financial Officer,dennis_covington@roundrockisd.org,5124645042,,Yana,Koleva,Food Service Director,yana_koleva@roundrockisd.org,5124648394,Closed,2023-07-11T00:00:00.000,2023-07-28T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.781146987, 30.470480905]}",136,234,16,37,24,7:20 AM - 7:40 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00027-0001,2022-2023,SSOCONTACTS,00027,SEALY ISD,Educational Institution,Public,6,3,Active,RENEWAL,0001,SEALY H S,Active,RENEWAL,008-902,AUSTIN,AUSTIN,939 TIGER LN,SEALY,TX,77474-3211,939 TIGER LN,SEALY,TX,77474-3211,2372 Championship Dr,Sealy,TX,77474,Dr.,Bryan,Hallmark,SUPERINTENDENT,bhallmark@sealyisd.com,9798853516,Mrs.,Lisa,Svoboda,Food Service Director,lsvoboda@sealyisd.com,9798853516,,Christy,Ramirez,Child Nutrition Coordinator,cramirez@sealyisd.com,9798853516,Open,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 11:30 AM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-96.17449398, 29.764091992]}",85,92,16,10,18,7:30 AM - 8:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
